"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Asotin","BLUE MOUNTAIN FIRE DIST NO 1 Fire Commissioner  2","WRITE-IN"," ","1","2.6316","Fire"
"Asotin","FIRE DISTRICT 1 FIRE COMMISSIONER 1","Larry Bunch"," ","2692","98.8979","Fire"
"Asotin","FIRE DISTRICT 1 FIRE COMMISSIONER 1","WRITE-IN"," ","30","1.1021","Fire"
"Benton","Benton Proposition No. 1","APPROVED"," ","30474","72.5779","County"
"Benton","Benton Proposition No. 1","REJECTED"," ","11514","27.4221","County"
"Benton","Benton, Franklin Superior Court Judge Position 3","Diana Ruff"," ","31429","98.434","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 3","WRITE-IN"," ","500","1.566","Judicial"
"Benton","Port Of Benton Commissioner District 2","Christy Rasmussen"," ","5267","45.0595","Port"
"Benton","Port Of Benton Commissioner District 2","Scott D. Keller"," ","6392","54.6839","Port"
"Benton","Port Of Benton Commissioner District 2","WRITE-IN"," ","30","0.2567","Port"
"Benton","PORT OF KENNEWICK Commissioner District 3","Skip Novakovich"," ","22542","98.1794","Port"
"Benton","PORT OF KENNEWICK Commissioner District 3","WRITE-IN"," ","418","1.8206","Port"
"Benton","Kennewick Public Hospital District Commissioner Pos. 1","Sheila Dunlop"," ","17004","98.2152","Hospital"
"Benton","Kennewick Public Hospital District Commissioner Pos. 1","WRITE-IN"," ","309","1.7848","Hospital"
"Benton","Kennewick Public Hospital District Commissioner Pos. 2","Gary Long"," ","17330","98.7071","Hospital"
"Benton","Kennewick Public Hospital District Commissioner Pos. 2","WRITE-IN"," ","227","1.2929","Hospital"
"Benton","Kennewick Public Hospital District Commissioner Pos. 3","Scott Carpenter"," ","10802","49.4054","Hospital"
"Benton","Kennewick Public Hospital District Commissioner Pos. 3","Marvin Kinney"," ","10966","50.1555","Hospital"
"Benton","Kennewick Public Hospital District Commissioner Pos. 3","WRITE-IN"," ","96","0.4391","Hospital"
"Benton","Prosser Public Hospital District Commissioner Pos. 1","SUSAN L. REAMS"," ","3104","98.571","Hospital"
"Benton","Prosser Public Hospital District Commissioner Pos. 1","WRITE-IN"," ","45","1.429","Hospital"
"Benton","Prosser Public Hospital District Commissioner Pos. 2","Keith Sattler"," ","3148","98.6834","Hospital"
"Benton","Prosser Public Hospital District Commissioner Pos. 2","WRITE-IN"," ","42","1.3166","Hospital"
"Benton","CITY OF WEST RICHLAND Council Pos. 5","David Fetto"," ","3120","95.6762","City/Town"
"Benton","CITY OF WEST RICHLAND Council Pos. 5","WRITE-IN"," ","141","4.3238","City/Town"
"Benton","CITY OF WEST RICHLAND Council Pos. 6","Fred Brink"," ","3359","97.5319","City/Town"
"Benton","CITY OF WEST RICHLAND Council Pos. 6","WRITE-IN"," ","85","2.4681","City/Town"
"Benton","CITY OF WEST RICHLAND Council Pos. 7","Kate Moran"," ","2517","52.6459","City/Town"
"Benton","CITY OF WEST RICHLAND Council Pos. 7","David Cole"," ","2251","47.0822","City/Town"
"Benton","CITY OF WEST RICHLAND Council Pos. 7","WRITE-IN"," ","13","0.2719","City/Town"
"Benton","City Of Prosser Council Pos. 4","Jim Chesley"," ","601","44.3215","City/Town"
"Benton","City Of Prosser Council Pos. 4","Maricela Sanchez"," ","755","55.6785","City/Town"
"Benton","City Of Prosser Council Pos. 4","WRITE-IN"," ","0","0","City/Town"
"Benton","City Of Prosser Council Pos. 5","Devin Matheny"," ","514","39.5081","City/Town"
"Benton","City Of Prosser Council Pos. 5","Carolina Warwick"," ","781","60.0307","City/Town"
"Benton","City Of Prosser Council Pos. 5","WRITE-IN"," ","6","0.4612","City/Town"
"Benton","City Of Prosser Council Pos. 6","Steven W Becken"," ","1000","97.7517","City/Town"
"Benton","City Of Prosser Council Pos. 6","WRITE-IN"," ","23","2.2483","City/Town"
"Benton","City Of Prosser Council Pos. 7","Anna Kellogg"," ","896","67.8788","City/Town"
"Benton","City Of Prosser Council Pos. 7","Stephanie Groom"," ","419","31.7424","City/Town"
"Benton","City Of Prosser Council Pos. 7","WRITE-IN"," ","5","0.3788","City/Town"
"Benton","City Of Prosser Mayor","Gary Vegar"," ","973","70.6096","City/Town"
"Benton","City Of Prosser Mayor","Randy Taylor"," ","398","28.8824","City/Town"
